A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,wetland_label
-1245,-2679,384,984,1476,629,1663,842,1358,-842,-325,-1417,-1860,74,517,22,-1476,384,-157,1663,-669,-669,354,1190,1301,2519,-325,-1537,3278,-629,-1190,-1137,-669,888,-448,1190,-1537,-842,-1860,797,2069,325,984,-517,-842,-103,-246,-325,1537,797,-2214,2141,-384,222,1998,-1417,-49,-384,-797,88,1301,-1860,-753,-1301,0
-753,-1301,-2288,-2214,-888,74,591,1476,1137,482,842,-984,271,-1417,177,-177,415,-842,842,61,797,1998,-984,2141,-1358,-1600,553,-2599,1727,-1537,-842,3278,1190,-711,-1358,39,448,271,199,888,-1137,-1727,1190,-74,157,2141,-1793,-74,-753,-935,222,222,-1417,-1085,354,-15,-325,1358,-1085,-325,448,-1998,448,2844,0
753,-935,-177,-2214,-1417,-1537,-222,2679,448,-553,482,984,-842,591,-1537,-1663,-1137,-30,2288,-448,1245,-984,-1034,-1034,30,1537,-88,753,2288,74,1034,1301,61,1476,-384,1727,797,297,-482,842,-2214,-591,-1537,1860,711,1476,-448,-1476,1600,-1663,-935,-753,842,-1600,553,2288,1537,1860,-1301,157,-797,842,1537,1358,0
-888,553,-984,1860,384,-1245,1034,1417,1929,-177,1034,-415,-2141,297,222,553,669,61,-1727,1245,-629,-1190,1137,1537,1663,1537,-1358,-1998,1137,1417,-2679,984,2141,1929,138,-325,-1085,629,-2214,-553,591,1085,1663,-753,-1793,177,-5,-553,2214,103,-1245,199,935,1998,2069,-384,629,-797,-553,-1358,1137,-1301,415,-711,0
-797,-1476,-2441,-2844,-669,-177,591,1245,1727,384,842,-482,-271,-1663,984,-1137,1085,-935,1085,103,888,2679,-1417,1600,-1358,-1301,271,-3368,935,-1860,-842,2761,1793,-1476,-984,-74,669,246,482,629,-222,-1358,797,222,199,1537,-1034,415,-517,-271,0,325,-711,-669,-271,-384,-935,935,-1245,325,246,-1537,61,2599,0
-384,-1537,-1727,-591,354,711,448,1727,842,669,1417,-842,-482,-1417,888,-354,842,-984,-482,39,297,1190,-88,2364,-1537,-797,246,-2679,1476,-553,-2214,2761,1085,-629,-1085,222,984,-669,-138,2141,-354,-1860,2069,-88,-669,1929,-1600,984,-1085,-984,-384,1245,-935,157,30,-669,-669,1793,-103,-354,74,-2214,984,3014,0
1085,246,-325,-711,1663,669,753,1137,-669,-297,1085,103,-1417,-753,842,-297,222,482,-354,888,-482,-1929,1085,-448,1600,1301,-415,-629,553,1537,1034,3553,3553,1537,753,1190,-711,629,-1929,3188,-1793,797,354,-1860,-199,711,325,-1137,-797,-591,935,-415,415,2214,1793,354,-1358,-1860,-1663,-271,354,415,-517,177,0
-2214,-1663,-1663,15,384,-1137,553,2141,61,-271,1034,-629,-354,591,-1929,103,-2364,1358,-199,1600,669,177,-1085,1301,1998,-384,1034,-384,297,415,-753,88,591,1245,-325,1727,-2288,-1600,-1245,-1190,-842,711,384,-591,-553,553,1600,-1301,1476,-1793,-2928,246,1600,-2364,1417,984,354,517,-517,448,1417,-1793,-984,-1663,0
-669,-1245,-2214,-1998,-711,-88,753,1727,842,482,842,-1085,199,-1476,-74,-103,325,-842,711,157,753,1793,-888,1998,-1663,-1600,797,-2599,1663,-1600,-935,3188,1137,-482,-1190,39,384,49,-49,517,-1137,-2069,1245,157,-157,2214,-1663,177,-1085,-1245,271,246,-1537,-1190,246,-199,-9,1358,-842,-482,297,-1998,157,3014,0
-1476,-297,935,-2519,1727,984,2141,-591,-5,61,517,591,-1793,1860,-1793,753,-1085,415,384,-177,-711,-157,888,1358,482,246,138,138,1537,-1358,482,-935,2928,591,-935,2214,-1860,-753,-384,1476,-88,-120,591,-1190,-753,-1417,1301,1085,2364,-2141,-888,842,199,-1137,2844,-842,-1245,-1085,-984,-842,-1190,-2069,74,74,0
-753,120,1358,-2069,842,88,2069,-553,-482,-888,2214,157,-2069,842,-1929,415,-1245,517,842,271,-1245,591,591,1537,1358,297,384,753,1190,-2069,-935,61,2441,2069,-1793,1476,-2214,-711,120,517,61,-222,711,-1793,-753,-1358,1793,1245,3278,-1245,-271,-88,842,-448,1085,-1245,-1085,-1358,-629,-842,-888,-1537,711,448,0
-1358,-1793,-1476,199,1929,888,2441,-384,842,157,-629,-984,-1860,553,-482,2679,-591,591,482,797,-177,-1358,553,2141,2364,-842,88,-1245,1998,-591,-935,-384,1034,669,-1860,1137,-2761,-629,-1929,1417,1358,325,-482,199,199,-1998,-517,-842,935,-1600,-2288,-138,222,-984,1998,-1190,-1417,-448,-753,138,325,-1085,-448,-984,0
-1190,-1537,-1137,-1727,1663,753,1793,-325,325,-935,669,88,-2214,711,-1998,1034,-1727,1190,1085,-842,-1793,-415,222,1600,1476,-482,49,482,1600,-1301,-448,-222,2364,753,-1358,1476,-2214,-1793,9,1860,888,-271,797,-984,103,-2364,669,591,1929,-1245,-1417,-354,553,-2214,1537,-415,-935,-1998,-669,-9,-74,-1417,753,888,0
-15,-1137,-1358,-1537,888,-246,1727,1085,177,1301,-448,-1034,-1476,-325,-1929,1600,354,-1137,-1860,-1929,629,-591,-49,-1929,384,199,-246,-797,1190,2069,-199,711,1417,888,1417,-222,935,2069,-1860,9,482,2069,-1301,-2069,222,-448,246,-591,-591,-1301,888,-325,-325,2761,2519,1190,-888,-2519,-842,1663,325,482,297,1860,0
-1301,-1085,-797,-1998,2599,1245,1793,-448,271,-325,-222,354,-1727,1537,-1137,1476,-1358,1301,935,-138,-669,-1358,591,1663,1417,-482,384,-415,2141,-984,22,-984,2599,-669,-553,1417,-1998,-1034,-591,2364,415,-797,15,-482,30,-1600,842,935,1998,-1663,-1301,297,9,-1793,2519,-74,-1034,-1860,-1034,-482,-629,-1245,482,415,0
-22,-61,-1417,-2844,2,-1793,-415,1085,2288,-711,1085,1301,-2599,49,-591,-1301,1190,-842,61,-177,1476,629,120,-1137,-1034,2364,-177,-3368,-669,1417,-222,-246,1793,-1929,-629,984,1727,2288,-22,157,325,591,-1929,-553,354,103,842,-1137,935,-1663,199,553,1793,-935,-177,-199,-1663,325,482,1663,61,1998,-222,482,0
1793,-297,-138,-711,629,-103,325,2288,1245,61,797,669,-1085,753,753,-753,888,-553,2288,271,138,-1998,1358,103,669,482,-2441,-1860,797,888,-246,984,2364,2141,74,1417,-1358,888,-1085,984,-2441,1245,-669,984,-1998,246,-984,-1085,1358,-1137,-177,-1137,-246,2928,2679,629,-157,1301,-1727,-888,-15,-74,482,1137,0
-888,-1476,-984,-2214,22,-1929,-553,-222,2141,629,1085,199,-222,-797,-1793,-384,2069,-74,-1537,-797,1085,-384,629,-1929,-1998,1860,-553,-842,1245,1476,1301,711,1998,-1727,-384,-246,39,2519,-842,415,177,-177,-2928,-1085,49,22,177,-2679,103,-1417,1358,271,-199,1085,1600,49,-2364,-1085,591,49,-1190,1245,888,120,0
-2599,-1476,74,-199,246,-753,1727,157,2141,-384,384,1929,-591,2141,-354,415,-1417,-354,-1085,-711,-669,-325,-711,2441,-157,1085,984,1137,1190,-1034,-1190,-1600,888,-354,39,1358,-1998,-1137,120,711,-120,591,753,-1998,-1727,-1301,1085,-415,1085,-1417,-2364,1358,103,-888,3100,-246,-984,22,-1190,-2069,-669,-2214,-271,-222,0
-1245,-1727,-1476,-1417,935,-888,1034,49,1085,-984,711,-177,-711,482,-1727,711,-1929,711,1245,1358,-629,-935,49,354,482,482,797,-1358,2141,-222,-1537,88,271,629,-1190,2844,-1929,-1034,-1137,935,935,1600,88,138,-384,-1476,1034,-22,2679,-3100,-1860,842,1085,-2761,1663,222,-61,-842,-935,-629,1085,-935,-753,-1190,0
103,-984,-1860,-1190,138,-15,1245,1476,888,354,1034,-935,-842,-1929,1034,-271,591,-797,-246,-138,888,2141,-482,1998,-1085,-1727,448,-2519,1476,-797,-1663,3553,935,-517,-1085,-222,1301,138,199,753,-297,-2288,1860,448,-246,1793,-1663,448,-669,157,222,753,-1727,-49,49,-553,-935,1137,-103,-384,482,-2599,271,2928,0
-384,-1137,-1663,-2141,-384,-271,753,1727,1358,935,49,-517,-517,-1190,-935,1301,1245,-1245,553,842,1417,1929,-629,325,-1417,-415,1358,-1476,2288,-3368,-669,3368,591,-984,-1476,669,1476,-297,-22,842,-984,-1358,-297,629,30,1929,-1301,61,-935,-1358,1137,-482,-1301,-591,-297,888,-591,669,-177,-517,-415,-1190,354,3188,0
-842,-1190,246,-1245,753,-2288,482,1998,415,297,-2761,-61,-1537,669,-984,2599,1190,246,222,-669,325,753,-325,-30,669,-888,-1476,-2069,1663,-74,-1137,-22,711,1190,415,325,629,2519,-2679,1034,888,3553,-1793,-935,-297,157,517,0,591,-753,517,-297,-61,1793,1600,1793,-1137,-1137,-797,1860,842,30,-325,482,0
935,15,-1137,553,591,2069,2441,629,2214,-271,-271,-2928,-2141,-103,753,711,-753,120,-629,984,-30,-1034,2364,591,1301,1085,-325,797,3014,1034,629,-591,2519,157,-1034,-797,-1793,103,-1537,1793,1929,-1190,1245,-1476,-888,753,-482,-1245,5,-103,-1417,797,49,-271,591,-1245,-120,-984,138,-1417,1860,-1034,1476,-842,0
9,-629,-2519,-1417,271,-984,-103,1663,935,-271,1301,711,517,271,-591,-2288,-2214,753,1929,553,-1600,-1417,-199,517,199,2288,448,-1190,2214,591,-935,888,1476,1358,-1358,2214,-1600,1034,1190,1245,553,138,30,-517,88,-325,325,-669,2141,-3014,-1301,753,1727,-935,1085,984,271,711,-1245,-1929,553,-88,1358,1245,0
2288,-517,-517,354,753,553,-888,1417,1727,-246,-1600,1417,-711,384,1137,138,-797,-1190,246,2288,-384,-2214,1537,325,157,1998,-888,-88,1137,1476,246,1034,1245,1137,-384,1301,-629,-1190,-246,3368,-448,1358,1034,-1600,-984,1929,-2599,-1085,-1034,-384,88,-199,629,199,-15,-2141,103,1537,-1998,-984,2214,553,-1301,-553,0
-138,984,-138,1034,842,-2214,448,2844,2679,1034,935,-553,-1301,15,-1085,629,1137,1537,-2288,-842,1245,384,-711,1301,1860,325,-1085,-1600,1085,1537,-1860,-5,1137,1727,669,-2441,-448,1358,-1137,-1663,-354,517,629,-1663,-1600,1085,15,1358,2069,-415,-354,-120,753,2141,2214,517,935,-157,-22,-177,842,-61,888,448,0
-415,-797,-482,-1085,-482,-1860,-88,1998,753,-415,1190,711,-2599,-297,-3278,22,199,-1034,-246,797,1600,-448,-482,-1537,39,2928,297,199,2441,-711,-325,1085,246,-271,-935,1245,2599,325,-1085,246,-842,-354,-3014,984,842,797,797,-2928,1537,-935,-297,-482,591,-1034,39,2069,1358,-5,-74,-448,-591,-120,1301,629,0
1860,325,-1476,935,325,384,888,177,2761,-711,-61,-517,-2519,-271,1301,-157,-1190,629,-753,1998,-325,-669,2364,1137,-157,1085,-1085,-888,3460,1929,157,1358,2599,1245,325,-74,-888,-222,-1245,1600,222,138,384,-1727,-1034,591,-517,-1417,-629,-271,354,49,448,984,711,-2519,553,-384,-1137,-2441,1301,-1301,49,-1034,0
88,-591,-1417,-1137,354,-2069,1085,-1034,222,1190,-1358,2599,-797,1085,-3014,384,984,-591,-1663,448,1085,354,-384,-1190,-2141,517,-199,-88,-157,-935,1727,935,2069,-1417,61,-325,-120,1793,-482,1190,-753,1929,-2519,-2141,-753,1137,753,-2441,-1137,-1190,-120,517,-88,415,1860,-797,-1301,-1537,797,-888,-1358,1085,22,1137,0
138,842,297,935,2441,-1600,199,1190,-246,-1358,-325,39,-2288,-629,-935,-1245,103,325,-2519,3742,448,354,-482,553,1727,-61,-138,-2214,-669,-74,629,1727,1537,669,-553,797,-1998,-177,-1793,177,-1034,935,415,-2069,-842,2928,517,-753,384,797,-711,-157,711,1929,448,-669,-629,-1476,-1417,-246,1600,-199,-1537,-1137,0
-1727,-1417,-2288,1358,74,-2761,5,1137,1663,157,1245,39,-1245,-629,-2364,-517,-1417,553,-448,1929,222,384,-415,1663,888,1417,1600,-553,354,935,-1600,517,711,591,1245,482,-1860,-1245,-711,-1476,-517,354,797,-797,-482,-157,222,-1476,2761,-1476,-3368,591,888,-553,1358,-1245,753,157,-1301,-222,1245,-1301,-888,-888,0
842,-3100,888,-984,1727,-517,271,-888,-1034,-1190,1085,-629,-1476,-1998,-1417,-1358,384,1417,-103,2214,-669,297,-1245,448,354,3100,711,-711,984,415,-797,-1358,-797,103,1998,-120,-3014,-1190,-448,-120,-2141,-935,753,-177,517,1358,-753,-325,1245,-888,-711,842,30,157,1727,-2141,1600,0,-354,415,1245,-448,-2519,-39,0
103,-88,-1860,1998,74,-888,1034,1600,3368,-138,-138,-591,-2364,-138,553,517,-1537,61,-1085,1663,482,888,1793,711,711,1860,-1358,74,1860,753,-482,1537,1358,1998,1034,-935,-1929,-246,-1245,-842,1476,88,2214,-1417,-1600,-88,-1034,-1358,1793,797,-553,246,120,1358,553,-1358,271,325,-1301,-711,1600,-2069,-246,-797,0
-1417,384,-1793,1245,517,-1929,1663,1537,1727,753,1727,-1245,-984,157,-1417,1417,-1245,-384,-138,354,753,384,-5,1301,1860,842,-415,-1085,246,553,-1727,-199,935,753,1358,120,-3188,-517,-1537,-2069,-297,1137,1358,-935,-2519,271,984,-1137,1600,-1034,-1998,384,1034,1245,1860,984,448,448,-1358,-797,1860,-1727,-120,-415,0
-1245,-1358,-1860,384,384,-1537,669,103,1537,-61,-1417,1085,-984,415,-711,1476,-1034,1190,1537,9,-354,-984,103,2214,138,-325,1727,-1600,482,30,-1727,1034,629,222,-271,2288,-591,-246,-1663,1537,2364,1727,-1793,-88,1600,-1929,-354,-1034,1663,-1137,-2761,271,-222,-2364,2069,-1537,-1137,297,-1476,797,888,-354,-88,-711,0
-591,-1190,-2519,-1929,-482,-325,629,1358,1417,517,753,-1034,-39,-1476,669,-448,553,-629,415,246,842,2441,-1034,2141,-1663,-1860,325,-2844,1476,-1600,-842,3460,1137,-935,-591,-325,669,553,297,629,-415,-2141,1190,138,246,1727,-1245,-138,-553,-246,39,629,-1537,-842,222,-888,-669,1137,-888,88,415,-2441,271,2519,0
-888,-1476,-935,-1727,669,-271,1137,1358,177,-1085,1417,-984,-74,1085,-1663,711,-753,984,1301,-39,-888,-1860,-354,49,984,1301,482,-1476,2141,669,-797,1190,271,2141,-1245,2441,-1793,669,-1085,1245,888,797,553,120,-199,-935,-591,797,2069,-4237,-1793,888,1417,-1137,2214,753,553,-482,448,297,1190,-669,1137,448,0
-629,-1358,-2069,-2288,-711,-88,354,1476,1727,297,669,-935,61,-1476,669,-629,797,-842,629,177,984,2288,-888,1998,-1417,-1600,138,-2844,1537,-1663,-482,3278,1137,-1137,-1190,-177,1034,448,591,797,-591,-1793,1190,39,246,1929,-1358,22,-415,-222,177,354,-1600,-984,448,-415,-842,1190,-1476,88,482,-2069,354,2441,0
-1929,-1998,-797,-842,415,-325,888,-297,1417,-888,591,88,-888,271,-753,2364,-984,888,1727,157,-753,-711,-74,1245,669,-984,1929,-1476,669,-271,-553,797,0,1137,-1727,1793,-1860,15,-1245,1860,2069,1245,-1245,797,1034,-2441,-591,-753,1793,-2519,-3100,-61,325,-1793,1600,-1537,-1417,-384,199,669,935,-271,-246,-753,0
-222,-1190,-2141,-1537,103,30,669,1476,1034,517,1190,-1190,-246,-1793,629,-177,711,-711,354,199,753,2141,-842,2069,-1358,-1663,482,-3014,1476,-1358,-1537,3460,1301,-669,-888,-5,888,88,138,984,-591,-1929,1537,157,-61,1417,-1537,325,-797,-448,177,591,-1417,-553,-30,-591,-591,1537,-354,-103,325,-2679,49,2761,0
-448,-1034,-2288,-2141,-553,-88,711,1417,1301,482,842,-1034,30,-1663,415,-246,297,-553,482,271,888,2141,-888,2214,-1537,-1793,629,-2844,1600,-1537,-888,3368,1245,-842,-935,39,629,384,138,553,-711,-1998,1190,103,88,1998,-1600,199,-591,-753,120,448,-1417,-797,246,-753,-482,1537,-935,-30,415,-2288,157,2679,0
-1793,-1929,-1860,1085,711,629,2519,271,1929,-753,384,-711,-2141,753,-984,222,-2069,1358,74,1476,-553,-517,482,1245,1137,1600,1190,39,2844,-984,-669,138,177,1190,-1537,1245,-2141,-384,-271,1358,1417,-138,797,-1600,-88,-1860,-103,-103,1998,-138,-2519,1034,448,-246,1793,-935,-1245,-797,49,-384,935,-1998,297,-888,0
-354,-1476,-591,-1476,-1034,-2069,-517,2599,935,-553,711,120,-842,-199,-1727,-1034,-88,-177,1537,-1085,1929,-935,-354,-1600,482,3014,-222,797,2441,-384,1137,157,888,711,-888,553,1860,842,517,553,-1600,-1476,-2069,1537,448,1137,-448,-1358,1137,-629,74,-711,384,-711,984,2844,1358,1245,-1085,-177,-669,1301,2141,1663,0
-1137,-1034,-1034,-669,2288,482,2364,-591,448,-629,297,935,-1663,669,-1085,1085,-935,753,-297,-888,-384,-415,-199,2761,1929,-1137,482,448,1929,-517,-325,-177,1998,-325,-1137,1537,-2844,-1034,74,1537,753,-1034,415,-482,888,-1860,842,384,2288,-1860,-1727,-120,325,-1727,1727,-711,-1358,-1663,-1727,120,-1190,-1034,753,1727,0
120,-553,-669,-2288,-669,-1600,984,88,15,-797,669,1085,-2069,222,-3188,935,199,-1663,-246,-415,753,-1476,-271,-1034,-1085,1301,199,-797,1929,-415,-415,1793,1358,629,-669,1417,1137,2441,-2141,177,-842,177,-2141,1476,1034,482,325,-1998,1793,-3553,-384,61,842,-103,984,354,297,-842,1190,120,-935,984,1600,935,0
448,22,1034,-61,1358,-553,1600,-5,1358,-482,-1137,-1663,-1929,-935,-271,-1190,-1085,2214,-753,2364,-797,1417,935,1476,591,1600,-2288,-753,2141,88,-297,984,1663,2599,-517,-517,-2761,325,-2069,797,1245,842,591,-1417,-415,1476,88,-2288,138,-448,-39,1663,384,-177,591,-1358,482,1245,297,-591,797,-1137,-1358,-1860,0
1301,1137,-482,-1245,2519,2141,1417,-1137,-325,138,482,-842,-2364,-591,-797,-753,-325,888,842,-15,-797,711,-177,-246,-448,384,-553,-842,1245,1793,1085,-553,3839,-1727,-1137,138,-888,-448,-1190,2288,-591,-448,984,-3647,30,271,1537,-888,-354,-1034,935,-935,753,-1301,1476,797,-1537,-1417,-1476,-482,888,-1476,138,-15,0
325,-591,-1476,-1301,-482,103,1417,1537,669,177,1417,-325,-1358,-1663,984,-384,669,-354,-482,-384,1417,1727,-120,1793,-1085,-2288,629,-1793,1301,-297,-1301,3742,797,-325,-888,177,1727,177,222,-103,448,-3368,1417,553,-448,1190,-1793,325,-384,517,-88,888,-1600,-120,177,-1085,-984,591,-415,-553,1190,-2519,448,2844,0
984,-984,-842,629,-49,-246,-415,2069,2519,246,-1417,-199,-1860,15,935,-5,-1476,753,88,2364,-711,1860,1417,103,-15,1476,-1245,1301,2288,797,448,1245,448,2599,-246,-120,354,-711,-1358,2069,1301,1358,2599,-1034,-1245,711,-1417,-1929,1358,354,-1417,325,842,199,-39,-1537,629,1137,-1301,669,1727,-1793,-517,-1034,0
-2,-842,74,-2069,-61,-2519,88,1137,271,-177,-199,797,-2599,-415,-3553,1301,354,-711,-177,325,1417,-271,-415,-1929,-888,2519,103,-2,2599,-1417,-74,842,-157,157,-1085,1793,2069,1245,-1301,138,-325,297,-2928,1034,1245,935,15,-2364,669,-1929,74,-246,984,-553,-325,1727,177,-39,271,-138,-935,842,1034,842,0
842,984,271,-517,246,-246,1537,797,74,-222,-2679,-2519,-1301,-669,39,-199,-1301,1663,-797,984,354,325,120,711,325,138,-629,1663,1476,120,1929,415,1600,2288,-1301,-888,-984,415,-2679,2761,1085,120,177,-1245,325,3100,669,-482,-2519,-1245,177,935,1245,-1417,553,-1727,-246,1245,-629,-384,935,-1793,-120,-1301,0
-797,-842,-1417,-1727,-669,-1998,-1358,2288,1537,-61,199,-246,-354,-271,-1245,-3368,448,157,39,103,711,384,-711,1137,-517,1301,-669,-1245,517,1358,138,888,629,-753,-888,88,2679,2928,-30,1301,-222,-711,-222,553,935,1034,1034,-2519,2679,-1537,-1727,1929,1417,-1600,1663,448,39,842,-1301,297,669,-448,415,553,0
-1476,-1137,-384,-1417,1190,1137,1476,-591,935,-448,-1476,-517,-2141,888,-1301,2844,-669,1663,1417,-1301,-1245,-591,88,2069,1793,-1034,271,629,1085,-1663,482,-591,2679,591,-1537,157,-2288,-1034,-984,2761,591,482,-177,-591,-157,-1727,-669,482,888,-1085,-1860,-482,271,-1793,1998,-415,-1245,-797,0,984,120,-1358,-9,138,0
177,553,222,-482,1034,888,2288,797,1476,-711,-1190,-2844,-1417,-415,1137,177,-448,1860,-297,-354,297,384,935,482,753,1417,-1245,888,3460,935,1190,-482,2214,2679,-935,-1190,-517,1034,-1929,1245,2069,-553,1301,-2441,-482,629,-199,222,-591,-1034,39,935,711,15,1417,-325,-384,-1085,49,-1417,1663,-2141,1245,-325,0
-120,-1137,-1793,-1301,591,482,1085,1600,842,415,935,-1034,-797,-1417,591,-157,842,-888,222,222,482,1793,-415,1929,-1476,-1537,448,-3014,1663,-984,-1793,3188,1537,-448,-1417,120,448,-448,-246,1085,-384,-2069,1929,-103,-669,1537,-1600,888,-1034,-669,138,669,-1358,61,-246,-629,-1085,1085,120,-384,103,-2679,246,3014,0
-2069,-1860,-1417,-271,384,517,1600,-354,1793,-935,-415,-246,-1663,669,-1600,1998,-1245,1537,1137,-935,-1190,-842,246,2141,1137,-297,1301,138,1137,-1245,-199,-591,1537,39,15,888,-2761,-1793,-1245,2441,553,-177,-448,-753,246,-1998,-591,-39,1860,-842,-2364,448,-629,-2069,2069,-1860,-553,-984,-384,325,354,-1301,157,-842,0
1034,-177,-157,-1793,1476,-297,1358,482,-2214,-1190,-1190,-888,-2364,-482,-629,-246,-517,-177,-448,1727,297,199,74,-415,384,-1190,-711,-517,448,1085,1190,888,1793,325,325,1190,-1137,711,-3278,1929,-2069,1417,354,-2519,415,3278,1301,-1137,-1085,-177,384,-297,246,984,1137,482,-1537,-1537,-1929,1245,1301,-591,-1663,-88,0
-797,-1476,-2364,-2761,-517,120,517,1417,1727,517,1245,-629,-384,-1793,1190,-1358,1600,-984,984,9,842,2519,-1358,1476,-1358,-797,177,-3278,797,-1727,-1034,2441,1998,-1663,-984,39,797,-120,448,842,-297,-1301,935,448,88,1600,-1085,553,-591,-297,177,482,-325,-753,-297,-297,-888,1034,-1190,448,222,-1476,-199,2599,0
797,-271,-984,753,888,354,935,1137,2364,-797,711,-1537,-1663,-88,1034,-591,-1417,1793,-199,1793,-711,120,1476,553,297,2288,-935,629,3368,888,1245,384,1476,1793,-1190,-482,-1537,415,-325,3368,1727,-354,2519,-1417,-1301,448,-984,-888,-797,-482,-297,842,1358,-888,-222,-553,-297,-15,-711,-1793,1537,-888,-271,-842,0
-61,-15,120,297,1929,-448,1034,2214,553,177,-39,-482,-1245,-30,-103,0,325,-842,-1600,2928,-415,39,222,984,2288,-1476,-1860,-1998,-88,384,-271,1034,1417,1600,-553,1417,-2519,-711,-2441,1190,-629,2761,753,-888,-1137,1663,1137,-2441,517,-1301,-935,74,1034,1301,797,-177,-177,-199,-1476,448,1245,-1034,-1998,-1137,0
-711,-1727,-888,-1358,1537,-157,2141,-753,-482,271,-517,-517,-1245,246,-1358,1727,-629,1190,1929,935,-711,-1137,354,1301,1358,-1476,553,-1727,1358,-591,-1358,-384,1929,384,-1793,2214,-1727,-888,-1190,1537,482,1793,-1600,-2,-753,-2069,629,5,1998,-2441,-1034,-711,842,-1034,2069,-199,-2069,-1301,-1085,753,297,-1085,354,-482,0
-1727,-1190,-103,415,-157,-1358,1860,888,1727,-1245,1034,984,-888,1663,30,-354,-1245,199,-1137,-935,-935,-797,629,1600,-591,-9,271,482,384,-1034,-1860,-2141,753,-842,1600,297,-1476,-138,-842,354,-888,103,49,-2761,-3278,199,1137,-629,1137,-384,-797,2441,-246,-297,2069,177,-669,-1085,-1476,-2599,271,-2928,-629,384,0
-669,39,-1476,-415,-553,297,2288,325,1476,-1190,553,-1301,-1998,553,-199,-103,-2844,629,-797,1137,-88,30,1727,1245,711,-448,-138,61,2441,482,246,-1793,2364,-30,-669,-88,88,-120,49,1358,888,-1476,1998,-2679,-2364,669,629,-888,1301,-138,-1034,1727,1476,-711,591,-448,448,-1860,-1137,-2679,1358,-1034,1727,-222,0
-384,-1085,-2069,-1600,-271,-120,797,1417,935,711,1301,-1190,-138,-1793,517,-415,842,-629,222,354,842,2141,-669,2069,-1663,-1476,591,-2761,1190,-1358,-1190,3278,1537,-935,-591,-74,797,120,-199,711,-711,-1929,1358,157,-222,1663,-1537,354,-711,-669,120,842,-1537,-797,271,-888,-482,1727,-517,246,103,-2761,-177,2844,0
-415,1034,-888,753,1034,-1929,935,2761,1727,1085,2069,-325,-984,-842,-1245,797,-415,-797,-1537,-553,1245,-797,1085,797,2441,517,-1998,-1137,-415,1245,-1476,1727,2761,1034,1600,-797,-1663,-517,-984,-1301,-325,482,629,-797,-1929,103,1417,-1476,1793,-448,39,325,325,2441,1358,1034,1034,-629,-1929,-669,669,-482,-325,629,0
-517,-1417,-1137,-354,1727,-415,2364,-271,888,753,-1663,-711,-1998,325,-1034,1793,-669,222,354,1537,-177,-711,842,1245,1190,-1793,-325,-3278,984,553,-1793,157,1417,-177,-1190,1476,-1137,222,-1860,1727,246,1793,-1417,-888,-1137,-1245,1663,-1600,669,-2679,591,-138,935,888,1600,15,-1860,-1137,-1245,325,482,-1190,-553,-629,0
448,-1190,271,-1727,-591,-1417,415,1998,-354,199,842,711,-1245,-39,-2069,-1137,354,-448,354,138,1600,-1793,-120,-1727,-271,2141,-325,-354,2288,-415,-271,711,1137,1034,-448,1190,2761,1600,-1476,22,-1727,-984,-2599,2069,384,1245,797,-2519,842,-1600,271,-177,935,103,669,2288,753,-448,-297,-935,-797,1537,2069,888,0
-103,935,591,591,-222,-30,3100,797,1034,-1301,177,-2288,-2141,669,-271,-177,-2364,753,-482,711,61,-517,2069,935,1190,553,-157,711,1860,-384,669,-1085,1663,1358,177,-591,5,1034,-1929,1358,1301,-1600,888,-2141,-2214,1358,22,-935,1358,88,-984,3014,1190,-553,517,-935,711,-1245,199,-2288,591,-1727,984,-297,0
842,553,-888,711,-74,1301,2599,482,1301,246,-842,-1537,-2599,-384,-354,297,-1301,448,-1301,-591,88,-1034,448,2069,1663,-415,246,1476,2214,74,935,-797,3553,-1600,-1085,482,-629,-1245,-1245,2288,1137,-2364,-199,-2141,-15,-199,842,-1245,199,984,-984,711,-325,-1245,517,-2141,-120,-1245,-711,-591,591,-1190,1929,177,0
1727,74,-711,-120,1358,-888,842,-325,1998,177,-842,-49,-1190,-384,984,246,-553,984,246,1929,-591,-297,1085,1137,517,517,-1085,-984,2069,984,-138,1537,2679,1358,-753,-246,-61,-199,-1301,3647,-482,2141,39,-1793,-1358,1417,415,-2679,-1137,-2069,1245,-448,984,1417,842,-669,-222,-935,-1417,-2364,1537,629,-9,-482,0
325,-1137,-711,-1358,-1085,-1190,177,2679,935,-297,1476,591,-711,-222,-1860,-1663,-1034,-297,1727,-482,1663,-984,-482,-1085,1034,2441,-354,1085,1998,-222,1137,1245,669,629,-888,753,935,-482,448,553,-2288,-1663,-1663,1245,482,1034,222,-2364,1417,-591,-354,-888,-2,-1476,753,2441,1663,1600,-1417,-448,-1034,797,2214,1190,0
