A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,wetland_label
-753,-1537,-103,-1793,39,-3368,-22,2599,1358,984,-103,448,-1034,-842,-2214,177,1190,-711,-753,-61,1537,517,-517,-1727,-120,1417,-553,1085,1727,-1245,103,-415,-384,-753,-297,984,2364,517,-1245,354,-61,591,-3188,669,-120,1600,984,-3553,-74,-1600,120,517,415,-15,384,2599,199,-74,-1245,-415,-984,553,517,384,11
669,271,-222,517,935,-591,-222,1600,1476,-669,753,753,-1417,-517,1537,-711,2069,-103,-1727,935,-297,-2761,1476,1085,2288,1793,-1476,-1034,888,1537,-1190,1727,3278,1663,-591,-1358,-39,1793,-1190,2069,-325,-325,1137,-935,-842,1190,-935,-88,1190,1085,384,-753,448,1929,1998,-138,-138,-1085,-753,-1417,1245,935,482,384,11
325,-30,-120,-1034,629,199,354,842,2141,-354,-1537,-2288,-1600,-61,1190,-517,-415,2364,-271,888,-1190,2288,157,935,384,591,-935,354,2519,448,1137,222,1727,2069,-1537,-1190,-297,935,-1358,3014,384,1245,1417,-2141,-553,1998,-271,-753,-888,-1358,1034,711,1663,-1137,384,103,448,120,-984,-797,2288,-1860,-711,-1358,11
-1860,61,-1663,384,-222,-2364,629,984,1358,-103,-1190,-271,-842,271,-2069,984,-1417,1793,-669,1358,-711,935,-711,2441,1301,-325,1034,120,271,-103,-935,888,629,3100,-1034,1034,-1358,629,-1727,669,984,1860,553,-448,88,984,935,-1793,842,-2844,-1663,1085,2364,-1476,669,-1358,517,482,-325,-1034,842,-1137,-629,-1358,11
-1245,-1034,354,-2441,629,-2599,-1085,3188,1476,157,-591,-15,-1537,271,-2141,591,1358,-669,-222,39,1417,74,-354,-2519,-553,1929,448,199,1417,-1034,199,-120,-669,-415,-1190,1476,3014,1358,-1190,1085,888,517,-2844,415,448,797,517,-1998,88,-1537,935,246,-22,-753,88,2519,-199,-842,-297,88,-935,629,177,1034,11
935,629,-1085,384,1137,384,1085,-199,2441,-1245,-753,-120,-3368,-842,517,-1085,935,22,-1860,4136,325,384,-246,1476,888,1245,-482,-1998,1998,448,517,1137,1793,1537,-325,753,-1085,138,-1245,271,-5,1085,553,-629,222,984,-384,-1727,246,842,-1137,138,325,1358,1860,-1793,482,-629,-842,-711,1860,-1301,-1929,-482,11
-629,-1358,-297,-1998,199,-2364,-415,2214,1301,271,591,591,-1245,-629,-2364,553,1301,-1537,-842,384,1663,-629,74,-1998,-842,2288,-271,39,2288,-1034,103,-103,711,-591,-517,1034,2364,753,-1301,-88,-384,-222,-3100,753,49,797,888,-3014,222,-1137,984,-39,-669,39,553,2141,384,-1245,-669,-888,-1417,1137,1301,984,11
9,-797,-842,-1034,1727,888,1929,-842,1417,591,-1301,-2679,-1600,-88,-354,-30,-553,1663,711,1600,-842,797,553,1034,1137,-1137,-669,-935,2214,482,553,-448,1600,1663,-2441,-157,-1476,1085,-1600,2928,935,842,9,-1245,-1476,222,1085,-1663,-1417,-2214,448,-711,1860,-199,591,325,-1793,-797,-1137,-935,1137,-1476,-384,-448,11
-415,-1537,5,-2364,482,-2214,-669,2288,1358,177,1085,482,-1245,-553,-2288,-74,2069,-1245,-888,-138,1663,-297,246,-1663,-1137,2441,-384,120,1663,-935,-39,-325,271,-753,-517,517,2844,935,-1034,271,103,-517,-2928,711,-517,711,935,-3188,120,-797,354,49,-177,49,629,1929,-711,-1476,-711,-1190,-1417,711,797,1358,11
138,-325,-246,120,629,-984,15,1417,2519,-74,-1034,-1998,-1301,-88,935,199,-384,1998,-271,157,-1358,1034,271,797,415,1358,-1417,-354,2928,629,-1301,888,842,2761,-482,-1034,-354,1245,-2141,2214,1476,1929,1537,-2141,-1417,797,-1034,-629,325,-1417,415,797,1663,222,553,-711,935,-103,-797,-325,2844,-1600,354,-1190,11
